r	0	10	20	30	40	50	60	70	80	90
1.05	6.05	6.05	6.04	6.02	6.01	5.97	5.78	5.78	5.81	5.83
1.1	5.89	5.89	5.87	5.86	5.82	5.7	5.5	5.5	5.55	5.57
1.15	5.72	5.73	5.71	5.69	5.65	5.47	5.25	5.25	5.3	5.33
1.2	5.57	5.61	5.6	5.57	5.48	5.21	5.06	5.07	5.1	5.11
1.25	5.44	5.47	5.45	5.41	5.28	5	4.9	4.93	4.95	4.95
1.3	5.31	5.33	5.31	5.26	5.08	4.8	4.75	4.78	4.8	4.8
1.35	5.21	5.22	5.19	5.12	4.88	4.68	4.65	4.66	4.69	4.69
1.4	5.11	5.12	5.08	4.98	4.75	4.59	4.57	4.58	4.59	4.6
1.45	5.02	5.02	4.96	4.87	4.64	4.52	4.49	4.5	4.5	4.51
1.5	4.93	4.92	4.85	4.73	4.54	4.44	4.42	4.41	4.42	4.43
1.6	4.77	4.76	4.67	4.53	4.38	4.29	4.28	4.27	4.27	4.27
1.7	4.64	4.61	4.51	4.34	4.22	4.17	4.16	4.15	4.15	4.15
1.8	4.51	4.48	4.36	4.2	4.11	4.08	4.06	4.06	4.06	4.06
1.9	4.4	4.36	4.22	4.09	4.03	4	3.98	3.98	3.98	3.98
2	4.28	4.23	4.09	4	3.96	3.94	3.92	3.92	3.92	3.92
